Random integers:
0: -234
1: 263
2: 484
3: 316
4: 419
5: -180
6: -272
7: -207
8: -129
9: -237
10: 202
11: 247
12: -492
13: -417
14: 359
15: 492
16: 487
17: 385
18: 18
19: -298
20: -204
21: -184
22: 499
23: -465
24: 194
25: -330
26: -293
27: 148
28: -10
29: 334
30: 429
31: 43
32: 96
33: 397
34: -103
35: -103
36: -173
37: 245
38: -229
39: 134
40: 250
41: -185
42: -312
43: 77
44: 210
45: -239
46: -14
47: 385
48: 261
49: -320
50: 406
51: -106
52: 138
53: 434
54: 269
55: 146
56: -21
57: -216
58: -78
59: -380
60: 247
61: 437
62: 291
63: 420
64: 423
65: 394
66: -211
67: 143
68: -122
69: 375
70: 428
71: -366
72: -448
73: -311
74: 259
75: 413
76: -194
77: 464
78: 493
79: -76
80: -131
81: -454
82: 139
83: 147
84: 313
85: 182
86: 389
87: -6
88: -18
89: 357
90: -420
91: -114
92: 364
93: 338
94: 93
95: -49
96: -365
97: -163
98: 355
99: -25
